"ages","p"
18,0.01608
19,0.01608
20,0.01693
21,0.01693
22,0.01693
23,0.01693
24,0.01693
25,0.01854
26,0.01854
27,0.01854
28,0.01854
29,0.01854
30,0.01747
31,0.01747
32,0.01747
33,0.01747
34,0.01747
35,0.01708
36,0.01708
37,0.01708
38,0.01708
39,0.01708
40,0.0156
41,0.0156
42,0.0156
43,0.0156
44,0.0156
45,0.01621
46,0.01621
47,0.01621
48,0.01621
49,0.01621
50,0.01621
51,0.01621
52,0.01621
53,0.01621
54,0.01621
55,0.01686
56,0.01686
57,0.01686
58,0.01686
59,0.01686
60,0.0164
61,0.0164
62,0.0164
63,0.0164
64,0.0164
65,0.01383
66,0.01383
67,0.01383
68,0.01383
69,0.01383
70,0.01126
71,0.01126
72,0.01126
73,0.01126
74,0.01126
75,0.00745
76,0.00745
77,0.00745
78,0.00745
79,0.00745
80,0.00482
81,0.00482
82,0.00482
83,0.00482
84,0.00482
85,0.001467
86,0.001467
87,0.001467
88,0.001467
89,0.001467
90,0.001467
91,0.001467
92,0.001467
93,0.001467
94,0.001467
95,0.001467
96,0.001467
97,0.001467
98,0.001467
99,0.001467
100,0.001467
